"product_group","coef","se","pval","n_obs"
"Grains",-0.132255288984833,0.10149990135643,0.217020436785941,19589
"Legumes & Tubers",-0.202804703664062,0.143844597679812,0.183961484133204,34187
"Processed",-0.100920659368604,0.14118675554541,0.488404476543139,3489
"Fuel",0.16622770554181,0.0628995621498493,0.0214645658941774,6972
