Cohort,ATT,SE,N States
2017,9.151,(0.976),1
2018,-5.174,(1.205),3
2019,3.271,(1.107),2
2020,2.439,(1.043),1
2021,0.193,(2.615),5
2022,-0.511,(2.724),11
