Year,N States,States
2018,3,"MA, MD, RI"
2019,2,"NC, VA"
2020,1,CO
2021,5,"AZ, DE, MN, NV, WI"
2022,11,"AL, CA, CT, GA, KY, LA, ME, NM, OH, TN, WV"
2023,16,"AR, FL, HI, IL, KS, MI, MO, MS, MT, NH, NJ, OK, SC, SD, UT, WA"
