multiplier,bandwidth,estimate,robust_se,p_value,n_left,n_right
0.5,5380.605424290351,-0.007462845172932444,0.0076422589938013865,0.025318642656939377,3095,497
0.75,8070.908136435526,-0.0034486373365112824,0.007544327359531445,0.12482832180423702,3095,497
1,10761.210848580702,-0.0014932967712066418,0.005941569237543672,0.19592976987926417,3095,497
1.5,16141.816272871052,0.0010536010758606818,0.004442881162862699,0.43581421313814916,3095,497
2,21522.421697161404,0.00368370640966424,0.004385467938842187,0.5903505077052793,3095,497
