outcome,robust_se,mde_80,outcome_mean,outcome_sd,mde_pct_mean,mde_pct_sd
Transit Share,0.0043276641136833945,0.01212611484654087,0.007417485480973455,0.01746454566873381,163.48012918455305,69.43275294157722
Employment Rate,0.007968778054386252,0.02232851610839028,0.9406085107788104,0.03803636658190112,2.3738373459860136,58.70307317685511
No Vehicle Share,0.00861023430401159,0.024125876519840474,0.08019578587479145,0.049268940522209696,30.083721054255726,48.96771934635959
Long Commute Share,0.011449644864302168,0.032081904909774674,0.07230390188580403,0.05720950841024814,44.37091785232348,56.0779244591931
