Specification,ATT,SE,CI_Lower,CI_Upper,p_value,Significant
Main (corrected timing),1.018,1.198,-1.329,3.366,0.3951,No
Strong mandates only,4.231,0.764,2.734,5.729,0,Yes
Weak/moderate mandates only,0.583,0.947,-1.273,2.44,0.538,No
"Bundled reform states (MS, FL, TN, AL)",8.499,NA,NA,NA,NA,NA
Dyslexia-only states,0.68,0.879,-1.044,2.403,0.4396,No
Placebo: Grade 4 Math,0.429,1.039,-1.609,2.466,0.6799,No
Placebo: Grade 8 Reading,-0.008,0.855,-1.684,1.669,0.9929,No
Excl. bundled reform states,0.68,0.864,-1.014,2.373,0.4315,No
Pre-2019 NAEP exposure only,0.674,1.103,-1.489,2.837,0.5413,No
