group,att,se,ci_lower,ci_upper
Small Firms (<100),0.005505231234626168,0.006606218921751804,-0.007442957852007368,0.018453420321259704
Large Firms (100+),0.010036010762776658,0.013218230964521491,-0.01587172192768547,0.03594374345323878
