event_time,att,se,ci_lower,ci_upper
-14,-0.016116165683782553,0.015277056339887591,-0.04605919610996223,0.013826864742397124
-13,-0.010733176139545612,0.019229672095653162,-0.048423333447025804,0.026956981167934584
-12,-0.006794490795523883,0.01165685689805791,-0.029641930315717387,0.01605294872466962
-11,0.017013397558994017,0.017793280504110772,-0.0178614322290631,0.05188822734705113
-10,0.012677585383881943,0.014379102961033098,-0.015505456419742927,0.04086062718750681
-9,0.0011483519704483906,0.011351619310129677,-0.021100821877405775,0.023397525818302557
-8,0.0038276237600000512,0.008330464300678029,-0.012500086269328886,0.02015533378932899
-7,0.004759126465834206,0.011404338198451372,-0.01759337640313048,0.027111629334798895
-6,0.011659031194985445,0.008390068690841693,-0.0047855034390642745,0.028103565829035164
-5,0.0032373150666841124,0.007292474253729224,-0.011055934470625165,0.01753056460399339
-4,-0.0019472340278779733,0.004997060963628072,-0.011741473516588994,0.007847005460833048
-3,0.012040913726868767,0.010545176794576902,-0.008627632790501962,0.0327094602442395
-2,0.008504056360642028,0.0039050566804880635,8.501452668854236e-4,0.016157967454398632
0,0.004496404751790429,0.009727054458059835,-0.014568621986006848,0.023561431489587704
1,0.007658483142089201,0.00563613096283473,-0.0033883335450668696,0.01870529982924527
2,0.00869801732259999,0.002621471496568632,0.0035599331893254723,0.013836101455874508
3,0.01733113632022226,0.003547190709369263,0.010378642529858505,0.024283630110586013
4,0.0051521795338032575,0.004592592924758885,-0.003849302598724157,0.014153661666330673
5,0.021594654506870196,0.005186763018358736,0.011428598990887074,0.03176071002285332
6,-0.008702267314818187,0.005779750323338216,-0.02003057794856109,0.0026260433189247163
7,-0.008962862235150295,0.006637334942824785,-0.021972038723086874,0.004046314252786284
