Group,N,Self_Emp_Effect,SE,95% CI
Expansion States,699998,-1.0243963809473302,0.038254020104779275,"[-1.1, -0.95]"
Non-Expansion States,482563,-0.9157228590208508,0.04635091631929633,"[-1.01, -0.82]"
