specification,estimate,std_error,ci_lower,ci_upper,significant
Main (TWFE),-0.012851336075912564,0.00616618852723239,-0.02493706558928805,-7.656065625370797e-4,Yes
Sun-Abraham ATT,-0.01857706101978323,0.0026172475400089777,-0.023706866198200824,-0.013447255841365633,Yes
Drop pre-2016 adopters,-0.005600699162360282,0.008727694441982318,-0.022706980268645625,0.01150558194392506,No
Drop 2020,-0.013135580168356824,0.0060759594625739806,-0.025044460715001826,-0.0012266996217118221,Yes
Ages 25-54,-0.01847758491453891,0.009715824411955336,-0.03752060076197137,5.654309328935458e-4,No
Wage employment,-0.00100210674775572,0.018381552480773167,-0.037029949610071125,0.03502573611455968,No
Any employment,-0.013696560476645763,0.013622200489471145,-0.040396073436009206,0.013002952482717682,No
