statefip,year,state,year_enacted,has_state_eitc,cohort,time_since_treat,rate_2024,refundable
5,1990,Arkansas,NA,0,Inf,NA,0,NA
5,1991,Arkansas,NA,0,Inf,NA,0,NA
5,1992,Arkansas,NA,0,Inf,NA,0,NA
5,1993,Arkansas,NA,0,Inf,NA,0,NA
5,1994,Arkansas,NA,0,Inf,NA,0,NA
5,1995,Arkansas,NA,0,Inf,NA,0,NA
5,1996,Arkansas,NA,0,Inf,NA,0,NA
5,1997,Arkansas,NA,0,Inf,NA,0,NA
5,1998,Arkansas,NA,0,Inf,NA,0,NA
5,1999,Arkansas,NA,0,Inf,NA,0,NA
5,2000,Arkansas,NA,0,Inf,NA,0,NA
5,2001,Arkansas,NA,0,Inf,NA,0,NA
5,2002,Arkansas,NA,0,Inf,NA,0,NA
5,2003,Arkansas,NA,0,Inf,NA,0,NA
5,2004,Arkansas,NA,0,Inf,NA,0,NA
5,2005,Arkansas,NA,0,Inf,NA,0,NA
5,2006,Arkansas,NA,0,Inf,NA,0,NA
5,2007,Arkansas,NA,0,Inf,NA,0,NA
5,2008,Arkansas,NA,0,Inf,NA,0,NA
5,2009,Arkansas,NA,0,Inf,NA,0,NA
5,2010,Arkansas,NA,0,Inf,NA,0,NA
5,2011,Arkansas,NA,0,Inf,NA,0,NA
5,2012,Arkansas,NA,0,Inf,NA,0,NA
5,2013,Arkansas,NA,0,Inf,NA,0,NA
5,2014,Arkansas,NA,0,Inf,NA,0,NA
5,2015,Arkansas,NA,0,Inf,NA,0,NA
5,2016,Arkansas,NA,0,Inf,NA,0,NA
5,2017,Arkansas,NA,0,Inf,NA,0,NA
5,2018,Arkansas,NA,0,Inf,NA,0,NA
5,2019,Arkansas,NA,0,Inf,NA,0,NA
5,2020,Arkansas,NA,0,Inf,NA,0,NA
5,2021,Arkansas,NA,0,Inf,NA,0,NA
5,2022,Arkansas,NA,0,Inf,NA,0,NA
5,2023,Arkansas,NA,0,Inf,NA,0,NA
6,1990,California,2015,0,2015,-25,47,1
6,1991,California,2015,0,2015,-24,47,1
6,1992,California,2015,0,2015,-23,47,1
6,1993,California,2015,0,2015,-22,47,1
6,1994,California,2015,0,2015,-21,47,1
6,1995,California,2015,0,2015,-20,47,1
6,1996,California,2015,0,2015,-19,47,1
6,1997,California,2015,0,2015,-18,47,1
6,1998,California,2015,0,2015,-17,47,1
6,1999,California,2015,0,2015,-16,47,1
6,2000,California,2015,0,2015,-15,47,1
6,2001,California,2015,0,2015,-14,47,1
6,2002,California,2015,0,2015,-13,47,1
6,2003,California,2015,0,2015,-12,47,1
6,2004,California,2015,0,2015,-11,47,1
6,2005,California,2015,0,2015,-10,47,1
6,2006,California,2015,0,2015,-9,47,1
6,2007,California,2015,0,2015,-8,47,1
6,2008,California,2015,0,2015,-7,47,1
6,2009,California,2015,0,2015,-6,47,1
6,2010,California,2015,0,2015,-5,47,1
6,2011,California,2015,0,2015,-4,47,1
6,2012,California,2015,0,2015,-3,47,1
6,2013,California,2015,0,2015,-2,47,1
6,2014,California,2015,0,2015,-1,47,1
6,2015,California,2015,1,2015,0,47,1
6,2016,California,2015,1,2015,1,47,1
6,2017,California,2015,1,2015,2,47,1
6,2018,California,2015,1,2015,3,47,1
6,2019,California,2015,1,2015,4,47,1
6,2020,California,2015,1,2015,5,47,1
6,2021,California,2015,1,2015,6,47,1
6,2022,California,2015,1,2015,7,47,1
6,2023,California,2015,1,2015,8,47,1
8,1990,Colorado,1999,0,1999,-9,50,1
8,1991,Colorado,1999,0,1999,-8,50,1
8,1992,Colorado,1999,0,1999,-7,50,1
8,1993,Colorado,1999,0,1999,-6,50,1
8,1994,Colorado,1999,0,1999,-5,50,1
8,1995,Colorado,1999,0,1999,-4,50,1
8,1996,Colorado,1999,0,1999,-3,50,1
8,1997,Colorado,1999,0,1999,-2,50,1
8,1998,Colorado,1999,0,1999,-1,50,1
8,1999,Colorado,1999,1,1999,0,50,1
8,2000,Colorado,1999,1,1999,1,50,1
8,2001,Colorado,1999,1,1999,2,50,1
8,2002,Colorado,1999,1,1999,3,50,1
8,2003,Colorado,1999,1,1999,4,50,1
8,2004,Colorado,1999,1,1999,5,50,1
8,2005,Colorado,1999,1,1999,6,50,1
8,2006,Colorado,1999,1,1999,7,50,1
8,2007,Colorado,1999,1,1999,8,50,1
8,2008,Colorado,1999,1,1999,9,50,1
8,2009,Colorado,1999,1,1999,10,50,1
8,2010,Colorado,1999,1,1999,11,50,1
8,2011,Colorado,1999,1,1999,12,50,1
8,2012,Colorado,1999,1,1999,13,50,1
8,2013,Colorado,1999,1,1999,14,50,1
8,2014,Colorado,1999,1,1999,15,50,1
8,2015,Colorado,1999,1,1999,16,50,1
8,2016,Colorado,1999,1,1999,17,50,1
8,2017,Colorado,1999,1,1999,18,50,1
8,2018,Colorado,1999,1,1999,19,50,1
8,2019,Colorado,1999,1,1999,20,50,1
8,2020,Colorado,1999,1,1999,21,50,1
8,2021,Colorado,1999,1,1999,22,50,1
8,2022,Colorado,1999,1,1999,23,50,1
8,2023,Colorado,1999,1,1999,24,50,1
9,1990,Connecticut,2011,0,2011,-21,30.5,1
9,1991,Connecticut,2011,0,2011,-20,30.5,1
9,1992,Connecticut,2011,0,2011,-19,30.5,1
9,1993,Connecticut,2011,0,2011,-18,30.5,1
9,1994,Connecticut,2011,0,2011,-17,30.5,1
9,1995,Connecticut,2011,0,2011,-16,30.5,1
9,1996,Connecticut,2011,0,2011,-15,30.5,1
9,1997,Connecticut,2011,0,2011,-14,30.5,1
9,1998,Connecticut,2011,0,2011,-13,30.5,1
9,1999,Connecticut,2011,0,2011,-12,30.5,1
9,2000,Connecticut,2011,0,2011,-11,30.5,1
9,2001,Connecticut,2011,0,2011,-10,30.5,1
9,2002,Connecticut,2011,0,2011,-9,30.5,1
9,2003,Connecticut,2011,0,2011,-8,30.5,1
9,2004,Connecticut,2011,0,2011,-7,30.5,1
9,2005,Connecticut,2011,0,2011,-6,30.5,1
9,2006,Connecticut,2011,0,2011,-5,30.5,1
9,2007,Connecticut,2011,0,2011,-4,30.5,1
9,2008,Connecticut,2011,0,2011,-3,30.5,1
9,2009,Connecticut,2011,0,2011,-2,30.5,1
9,2010,Connecticut,2011,0,2011,-1,30.5,1
9,2011,Connecticut,2011,1,2011,0,30.5,1
9,2012,Connecticut,2011,1,2011,1,30.5,1
9,2013,Connecticut,2011,1,2011,2,30.5,1
9,2014,Connecticut,2011,1,2011,3,30.5,1
9,2015,Connecticut,2011,1,2011,4,30.5,1
9,2016,Connecticut,2011,1,2011,5,30.5,1
9,2017,Connecticut,2011,1,2011,6,30.5,1
9,2018,Connecticut,2011,1,2011,7,30.5,1
9,2019,Connecticut,2011,1,2011,8,30.5,1
9,2020,Connecticut,2011,1,2011,9,30.5,1
9,2021,Connecticut,2011,1,2011,10,30.5,1
9,2022,Connecticut,2011,1,2011,11,30.5,1
9,2023,Connecticut,2011,1,2011,12,30.5,1
10,1990,Delaware,2005,0,2005,-15,20,1
10,1991,Delaware,2005,0,2005,-14,20,1
10,1992,Delaware,2005,0,2005,-13,20,1
10,1993,Delaware,2005,0,2005,-12,20,1
