period,N,Mean_Price,SD_Price,Median_Price,Mean_Score,Pct_Rental
Pre-MEES,16000,822008.8071875,722303.349751235,617000,59.9383125,23.9750000000003
Post-MEES Pre-Crisis,32129,859467.136232065,759935.043377999,640000,60.4764854181581,24.8653864110303
Crisis,16446,958365.48425149,893165.470811536,690000,59.5929709351819,25.3800316186307
Post-Crisis,21220,907097.425494816,818768.132926052,657000,60.2469839773798,27.0169651272385
