Specification,Estimate,SE,N_obs,N_states,CI_lower,CI_upper,p_value,stars
Simple DiD,NA,NA,459,51,NA,NA,NA,
Sun-Abraham ATT,-0.042210136846504695,0.006875114395969596,459,51,-0.055685361062605104,-0.028734912630404286,8.275342633368155e-10,***
