Group,Log_Earnings,Age,Pct_Female,N
Control States,6.610873660446044,41.068491202930815,49.18732365237174,541544
Treated States,6.744832140302181,40.581550246543614,48.783569767833676,178062
Difference,0.13395847985613685,-0.48694095638720114,-0.4037538845380624,NA
