Percentile,ATT,SE,CI_lower,CI_upper,p_value,stars
10,-0.05154728483735216,0.011771047325825911,-0.07461853759597095,-0.028476032078733372,1.1913832551169179e-5,***
25,-0.014542691666528098,0.009423312376772963,-0.03301238392500311,0.00392700059194691,0.12276588739360572,
50,-0.029643153479682115,0.01497904286376196,-0.059002077492655555,-2.842294667086756e-4,0.047818805058580605,**
75,-0.04794898429807742,0.019413443702454958,-0.08599933395488912,-0.009898634641265704,0.013515628165256866,**
90,-0.05160013385361218,0.01133326652777723,-0.07381333624805556,-0.029386931459168812,5.2891347146477585e-6,***
