Specification,ATT,SE,N_states,CI_lower,CI_upper,p_value,stars
Main (weighted),-0.039434733543354535,0.009940797702370871,51,-0.05891869704000144,-0.019950770046707627,7.279561280415514e-5,***
Never-treated control,-0.039434733543354535,0.009940797702370871,51,-0.05891869704000144,-0.019950770046707627,7.279561280415514e-5,***
Excluding Colorado,-0.04765185721813303,0.0061692009561838245,50,-0.059743491092253326,-0.03556022334401274,1.1324274851176597e-14,***
Excluding California,-0.03312147452348142,0.014919589019612503,50,-0.06236386900192192,-0.003879080045040919,0.026418827217549845,**
Unweighted,-0.03424573616184834,0.015255607234016822,51,-0.0641467263405213,-0.004344745983175368,0.02478118931008133,**
