Specification,ATT,SE,Note
Main (NAICS 51),-0.0034493000313479557,0.5209105502262026,Primary
Software (5112),-0.0766916201806076,0.02466443808474418,Narrow tech
Including Florida,0.09139439076700333,0.5082426036442236,FL added
Placebo: Manuf,NA,NA,Placebo
Placebo: Health,0.013995964589008142,0.011700476823051212,Placebo
Placebo: Constr,0.37928490944591525,0.3195597561016819,Placebo
High-tech states,0.2105550552526639,0.5337990670685109,Heterogeneity
Low-tech states,-1.3050171134138142,2.5790796484390337,Heterogeneity
