part,term,statistic,Total Crime,Violence,Theft,Criminal Damage,Robbery,Public Order
estimates,betting_density × post,estimate,11.486*,3.039,5.398,-1.246***,0.522,0.888
estimates,betting_density × post,std.error,(6.696),(2.142),(5.779),(0.463),(0.371),(0.945)
gof,Num.Obs.,"",11658,11658,11658,11658,11658,11658
gof,R2,"",0.928,0.866,0.920,0.880,0.885,0.769
