Treatment,crime_rate_Post (2019Q2+),crime_rate_Pre (2015Q2-2019Q1),n_csps_Post (2019Q2+),n_csps_Pre (2015Q2-2019Q1),mean_pop_Post (2019Q2+),mean_pop_Pre (2015Q2-2019Q1)
High Density,241.658562373255,219.119571093872,136,137,224664.405542986,217974.806215722
Low Density,168.029617849653,157.991173317932,141,142,155917.930169122,150277.795414462
