outcome,estimator,coef,SE,CI_lower,CI_upper,p_value,N,N_clusters,R2_within
individualizing,TWFE (continuous),-0.12391731961278,0.29948231769497174,-0.7109026622949246,0.4630680230693646,0.680964155709707,2751,47,6.481174503814024e-5
binding,TWFE (continuous),-0.4681561424766956,0.2414551500280181,-0.9414082365316111,0.005095951578219848,0.05866314403177457,2751,47,8.753019382194971e-4
universalism_index,TWFE (continuous),0.3442388228639181,0.3113370007916472,-0.26598169868771043,0.9544593444155467,0.2746148297739344,2751,47,4.612775541976699e-4
log_univ_comm,TWFE (continuous),0.4085351679235238,0.22261929699593896,-0.02779865418851657,0.8448689900355641,0.07295717703838424,2751,47,9.011402221522635e-4
