Specification,Coef,SE,p_value,N,R2
No controls,-0.3593516741309441,0.1440827615342503,0.012628965885284742,530,0.008823425441316535
State FE,-0.38201454997053613,0.16644110017033947,0.021722031091395606,525,0.0689532415577977
State FE + controls,-0.47384822687431055,0.19911406601486628,0.017322845802345124,80,0.3730706156532373
