outcome,estimator,interaction_term,coef,SE,CI_lower,CI_upper,p_value,N,N_clusters,R2_within
individualizing,TWFE (interaction),broadband_rate:rep_share_baseline,-0.3218609883609817,0.44951997510552055,-1.202920139567802,0.5591981628458385,0.47760415356744146,2751,47,1.7904528827505928e-4
binding,TWFE (interaction),broadband_rate:rep_share_baseline,-0.6561580363149107,0.39251920038720806,-1.4254956690738383,0.1131795964440171,0.10138183707243408,2751,47,7.040927381182227e-4
universalism_index,TWFE (interaction),broadband_rate:rep_share_baseline,0.3342970479539274,0.456808578121212,-0.5610477651636481,1.229641861071503,0.4679966752226288,2751,47,1.7813293835911015e-4
log_univ_comm,TWFE (interaction),broadband_rate:rep_share_baseline,0.4580868060868275,0.3466713682891049,-0.22138907575981803,1.137562687933473,0.19290754016624023,2751,47,4.6394400592508767e-4
