Outcome,TWFE_ATT,TWFE_SE,TWFE_p,CS_ATT,CS_SE,CS_p
individualizing,-0.0656457174360103,0.058606981819356765,0.26267088091320306,-0.07284807892089494,0.17219001361506853,0.6722456732257134
binding,-0.08453895077754738,0.05656467511241138,0.13503092818757503,0.16780900956006684,0.16281433985525778,0.3026922730262154
universalism_index,0.01889323334153705,0.05761189171361178,0.7429571658390053,-0.24065708848096168,0.3009512923220128,0.4239109375767251
log_univ_comm,0.022287273790776076,0.03851822765055028,0.562848113882389,-0.13119932873282514,0.20418054934978264,0.5205062280057935
care_p,-0.08282032718341881,0.11680582892417206,0.4782979428172059,-0.17845267751189767,0.33262925223776396,0.5916190936868659
fairness_p,-0.048471107688601904,0.03567708665227934,0.17427144000442865,0.03275651967010786,0.06505668879613515,0.6146076281662929
loyalty_p,-0.16667261652148316,0.12458186803437415,0.18094333853036906,-0.09323135654847614,0.28748009129953644,0.7457068040488637
authority_p,-0.1079985411523023,0.06871405473487463,0.11601790913292119,0.5269473342925023,0.6625926046878465,0.4264500412886212
sanctity_p,0.02105430534114335,0.045909600205856715,0.6465188914477314,0.06971105093617457,0.08958305264177689,0.43646743897615514
