outcome,estimator,ATT,SE,CI_lower,CI_upper,p_value,N,N_clusters,N_treated,N_control,sig
individualizing,Callaway-Sant'Anna,-0.07284807892089494,0.17219001361506853,-0.41034050560642926,0.26464434776463935,0.6722456732257134,2746,47,521,9,
binding,Callaway-Sant'Anna,0.16780900956006684,0.16281433985525778,-0.15130709655623842,0.4869251156763721,0.3026922730262154,2746,47,521,9,
universalism_index,Callaway-Sant'Anna,-0.24065708848096168,0.3009512923220128,-0.8305216214321067,0.34920744447018337,0.42391093757672516,2746,47,521,9,
log_univ_comm,Callaway-Sant'Anna,-0.13119932873282514,0.20418054934978266,-0.5313932054583992,0.26899454799274886,0.5205062280057935,2746,47,521,9,
care_p,Callaway-Sant'Anna,-0.17845267751189767,0.33262925223776396,-0.830406011897915,0.4735006568741197,0.5916190936868659,2746,47,521,9,
fairness_p,Callaway-Sant'Anna,0.03275651967010786,0.06505668879613515,-0.094754590370317,0.16026762971053274,0.6146076281662929,2746,47,521,9,
loyalty_p,Callaway-Sant'Anna,-0.09323135654847614,0.28748009129953644,-0.6566923354955676,0.4702296223986153,0.7457068040488637,2746,47,521,9,
authority_p,Callaway-Sant'Anna,0.5269473342925023,0.6625926046878465,-0.771734170895677,1.8256288394806814,0.4264500412886212,2746,47,521,9,
sanctity_p,Callaway-Sant'Anna,0.06971105093617457,0.08958305264177689,-0.10587173224170814,0.24529383411405725,0.43646743897615514,2746,47,521,9,
