outcome,twfe_coef,twfe_se,twfe_pval,twfe_r2,twfe_n,twfe_n_clusters,cs_att,cs_se,cs_pval
individualizing,-0.06675418142124036,0.05781082935167115,0.2541766248765529,6.043165844146214e-4,2751,47,-0.07284807892089494,0.17219001361506853,0.6722456732257134
binding,-0.08358593472600188,0.05571128225845836,0.14035904639586824,8.96521513195081e-4,2751,47,0.16780900956006684,0.16281433985525778,0.3026922730262154
universalism_index,0.016831753304761544,0.05657885492752029,0.7674303716047637,3.5433920887228965e-5,2751,47,-0.24065708848096168,0.3009512923220128,0.42391093757672516
log_univ_comm,0.020352693730969644,0.03765880794664855,0.5914942454807709,7.186131233394288e-5,2751,47,-0.13119932873282514,0.20418054934978266,0.5205062280057935
