outcome,SE_ATT,outcome_SD,ATT,ATT_SD_units,MDE_80_raw,MDE_80_SD,MDE_90_raw,MDE_90_SD,powered_80,powered_90,N,N_clusters,N_treated
individualizing,0.17219001361506853,0.6893911891250205,-0.07284807892089494,-0.10567016241294608,0.48213203812219185,0.6993591530145848,0.5578956441128221,0.8092584484883055,FALSE,FALSE,2751,47,521
binding,0.16281433985525778,0.8726444275838484,0.16780900956006684,0.19229941114124954,0.4558801515947218,0.522412264588624,0.5275184611310353,0.6045056204525507,FALSE,FALSE,2751,47,521
universalism_index,0.3009512923220128,0.6388222668853928,-0.24065708848096168,-0.37671994380267354,0.8426636185016357,1.3190893025850223,0.9750821871233215,1.5263747644198118,FALSE,FALSE,2751,47,521
log_univ_comm,0.20418054934978266,0.4742004305822065,-0.13119932873282514,-0.27667484099865375,0.5717055381793914,1.2056200317605608,0.6615449798932959,1.3950746081800776,FALSE,FALSE,2751,47,521
