Foundation,ATT,SE,CI_95,p_value
Care,-0.17845267751189767,0.33262925223776396,"[-0.8304, 0.4735]",0.5916190936868659
Fairness,0.03275651967010786,0.06505668879613515,"[-0.0948, 0.1603]",0.6146076281662929
Loyalty,-0.09323135654847614,0.28748009129953644,"[-0.6567, 0.4702]",0.7457068040488637
Authority,0.5269473342925023,0.6625926046878465,"[-0.7717, 1.8256]",0.4264500412886212
Sanctity,0.06971105093617457,0.08958305264177689,"[-0.1059, 0.2453]",0.43646743897615514
