Subgroup,ATT,SE,N,p_value
Full Sample,-0.24065708848096168,0.3009512923220128,2746,0.4239109375767251
Republican,NA,NA,1261,NA
Democrat,NA,NA,1485,NA
Metro,NA,NA,825,NA
Non-Metro,NA,NA,1921,NA
High Universalism,0.26678900872835604,0.13773795307949693,225,0.05275369186298317
Low Universalism,NA,NA,234,NA
