specification,estimate,se,pvalue,n,bandwidth
Corrected Pooled,-4.48562008632063,2.316861568436849,0.0528583930276001,1278,3.732074307919017
Corrected Same-Language,-5.909668087948091,2.3242082550372345,0.01100126638146618,862,3.244668852520589
