model,estimate,se,n,pvalue,ci_lower,ci_upper
Segment FE,-6.544433744154944,2.2656325342004804,1196,0.003870002852331948,-10.985073511187885,-2.1037939771220024
Segment FE + Segment Slopes,-6.092624801678847,2.462666992056345,1196,0.013361172212916807,-10.919452106109283,-1.2657974972484105
