donut_km,estimate,se,ci_lower,ci_upper,n
0,-2.7250604233491913,1.1041864922287974,-4.8892261803332495,-0.5608946663651326,2108
0.5,-3.304890289988734,1.102426866559299,-5.465607244034303,-1.1441733359431643,2095
1,-2.2490345401283065,1.2833316755010127,-4.764318404329734,0.2662493240731214,2004
1.5,-1.7638787949316637,1.6550556085839763,-5.007728180167277,1.47997059030395,1904
2,1.7548704936364175,2.382430519297594,-2.914607519855924,6.424348507128759,1822
