specification,estimate,se,n,pvalue,ci_lower,ci_upper
Basic (Mun + Ref FE),-2.8470920698219797,1.6522722640647616,5259,0.0848636878250371,-6.0855457073889125,0.3913615677449531
Border-Pair FE,-4.908231815536794,1.7494210131495433,5259,0.00502179867117497,-8.3370970013099,-1.4793666297636894
Distance Controls,-3.054057100643856,1.5953343852423494,5259,0.0555731510030224,-6.180912495718861,0.07279829443114849
Same-Language Only,NA,NA,NA,NA,NA,NA
