model,estimate,se,n,pvalue,ci_lower,ci_upper
Segment FE,-6.544433744154947,2.2656325342004826,1196,0.0038700028523319645,-10.985073511187892,-2.1037939771220016
Segment FE + Segment Slopes,-6.092624801678843,2.4626669920563464,1196,0.01336117221291691,-10.919452106109283,-1.2657974972484043
