Specification,Estimate,SE,N,t-stat,Significant
German-speaking only,-1.798730120812434,1.9444871583001155,1354,-0.9250408844997962,No
Exclude Basel,-2.160733869528345,2.0672089949618146,2030,-1.0452420992722402,No
Population weighted,-1.0374658674231876,2.6401990501620904,2120,-0.39294986768497403,No
Rural gemeinden only,-1.6786930774949267,2.0006966195472855,1897,-0.8390542879383576,No
Urban gemeinden only,3.365966754416926,1.2988270951573728,223,2.591543375532282,Yes
