specification,estimate,se,pvalue,ci_lower,ci_upper,bandwidth,n_left,n_right
1. Pooled (MSE-optimal),-2.7250604233491913,1.1041864922287974,0.013589501676972952,-4.8892261803332495,-0.5608946663651326,11.861611929080349,437,564
2. Same-language borders,-1.3616144700746418,1.2744534568816341,0.28534422218495903,-3.859497345535215,1.1362684053859313,8.113928769390146,242,450
3. Half bandwidth,-2.542435251448161,1.646607988381438,0.12257766390645228,-5.769727605331727,0.6848571024354042,5.930805964540174,291,367
4. Double bandwidth,-3.6433733820268515,0.843295952407702,1.5574867543556193e-5,-5.296203077054351,-1.9905436869993522,23.723223858160697,739,684
5. Local quadratic,-2.623355950837123,1.7222645559882293,0.12770830156112944,-5.998932452423919,0.7522205507496733,12.482608083287762,454,571
