specification,estimate,se,n,pvalue,ci_lower,ci_upper,significant
Same-Language Borders (PRIMARY),-1.4042546189685936,1.5252547829569298,866,0.35722332628519676,-4.393753993564176,1.5852447556269889,FALSE
Pooled Borders (all),-2.7250604233491913,1.1041864922287974,2108,0.013589501676972952,-4.889265948117634,-0.5608548985807484,TRUE
Border-Segment FE,-6.544433744154947,2.2656325342004826,1196,0.0038700028523319645,-10.985073511187892,-2.1037939771220016,TRUE
OLS + Language Controls,-1.7987301208123974,1.9307600106039062,2120,0.3515341537654173,-5.583019741596054,1.985559499971259,FALSE
