specification,estimate,se,n,ci_lower,ci_upper,pvalue
(1) Raw,-9.631460287440797,3.321038117197486,2120,-16.140694997147868,-3.1222255777337242,0.00373001468831704
(2) + Language,-1.7987301208123974,1.9307600106039062,2120,-5.583019741596054,1.985559499971259,0.3515341537654173
(3) + Language + Turnout,-1.4893049513162997,1.9133502674619052,2120,-5.239471475541634,2.2608615729090342,0.4363476839488091
(4) Language FE,-1.7987301208121675,1.93076001060391,2120,-5.583019741595831,1.9855594999714958,0.3515341537654797
