Canton,Energy Law Year,Years Before Vote,N Municipalities,Mean Yes (%),Mean Turnout (%)
GR,2010,7,100,56.46,39.68
BE,2011,6,328,46.84,40.8
AG,2012,5,197,43.96,42.85
BL,2015,2,86,49.94,43.76
BS,2016,1,3,54.37,56.4
