Specification,Estimate,SE,N,t-stat,p-value
Raw,-9.631460287440797,3.321038117197486,2120,-2.9001354237898562,0.003768451515147006
+ Language,-1.7987301208123974,1.9307600106039062,2120,-0.9316176588149802,0.35164033183090126
+ Turnout,-1.4893049513162997,1.9133502674619052,2120,-0.778375489654537,0.4364346296988101
Language FE,-1.7987301208121675,1.93076001060391,2120,-0.9316176588148593,0.3516403318309639
