specification,estimate,se,pvalue,n,bandwidth
Corrected Pooled,-4.4856200863194715,2.31686156843563,0.05285839302753659,1278,3.732074307921566
Corrected Same-Language,-5.90966808794861,2.324208255035516,0.01100126638139997,862,3.2446688525231764
