term,estimate,se,ci_lower,ci_upper
Treated (Rural),-1.6681475352383621,2.0008549756978073,-5.589823287606064,2.2535282171293405
Treated x Urban,4.980583108485302,1.7240567658182184,1.6014318474815936,8.35973436948901
"Treated (Urban, total)",3.3124355732469395,1.2027959128141508,0.9549555841312038,5.669915562362675
