Estimator,Power,SE,MDE,MDE_pct,Panel
TWFE,80%,1.1149386269604982,3.1218281554893945,22.592648378949516,Working-Age (25-64)
TWFE,90%,1.1149386269604982,3.6124011513520142,26.14292169564159,Working-Age (25-64)
CS-DiD,80%,0.7440535489290518,2.083349937001345,15.07718882418732,Working-Age (25-64)
