commodity,estimator,att,se,pvalue,n_treated,n_control
Wheat,CS-DiD,0.0466604716182333,0.0189587925719212,0.0138491650840431,178,0
Soyabean,CS-DiD,0.0821455757770389,0.014330129280213,9.90380530581449e-09,69,0
