test,estimate,se,p_value,ci_95
TWFE (Cluster-robust),0.0469,0.0196,0.0166,"[0.009, 0.085]"
Wild Cluster Bootstrap,0.042,0.0139,NA,"[NA, NA]"
Randomization Inference,0.0469,NA,0.015,NA
Triple-Diff (DDD),-0.0086,0.0133,0.5173,"[-0.035, 0.017]"
