Outcome,Coefficient,SE,N,95% CI Lower,95% CI Upper,p-value
Property,-0.0045508623071062095,0.026005462119044257,1071,-0.05552156806043296,0.046419843446220535,0.8610824606314607
Burglary,0.010104723769223459,0.029280809811352074,1071,-0.047285663461026604,0.06749511099947353,0.7300213422916602
Larceny,-0.008335100260804378,0.027609867086470213,1071,-0.06245043975028599,0.04578023922867724,0.7627370930283801
MVT,-0.017304537715050142,0.06347160330602698,1071,-0.14170888019486302,0.10709980476476275,0.7851343237003305
Violent,-0.08905315758862725,0.03860535928534669,1071,-0.16471966178790676,-0.013386653389347747,0.02106840702301116
