canton_abbr,treated,n_gemeinden,n_in_bandwidth
AG,TRUE,197,80
BE,TRUE,328,115
BL,TRUE,86,53
GR,TRUE,100,13
FR,FALSE,121,23
GL,FALSE,3,0
JU,FALSE,50,22
LU,FALSE,79,27
NE,FALSE,24,6
NW,FALSE,11,0
OW,FALSE,7,1
SG,FALSE,75,2
SO,FALSE,106,100
TI,FALSE,99,2
UR,FALSE,20,1
VD,FALSE,300,1
VS,FALSE,122,3
ZG,FALSE,11,3
ZH,FALSE,160,30
