"outcome","estimate","se","interpretation","p_value","significant"
"Distance to dispensary (km)",3.17457329883603,10.2683300171508,"-3.2 km decrease",0.757198605551703,FALSE
"Log(distance + 1)",0.0380778130342447,0.212855341457981,"-4% decrease",0.858023628602646,FALSE
"Has dispensary within 50km",-0.118426406890753,0.0701243180061749,"-12 pp increase",0.0912565100445137,FALSE
