donut_km,estimate,se,ci_lower,ci_upper,n
0,-2.7250604233490137,1.104186492228778,-4.889226180333035,-0.5608946663649932,2108
0.5,-3.3048902899888972,1.1024268665590908,-5.465607244034059,-1.1441733359437358,2095
1,-2.2490345401280223,1.2833316755009738,-4.764318404329374,0.26624932407332924,2004
1.5,-1.7638787949264056,1.655055608585521,-5.007728180165047,1.4799705903122353,1904
2,1.7548704936386272,2.382430519297889,-2.9146075198542913,6.424348507131546,1822
