"Group","N","LFP 1940","LFP 1950","DLFP","Age 1940","Married 1940","Pct Mover"
"Linked Men (Individual Panel)","14,046,861","0.619","0.731","0.1124","28.3","0.467","14.6"
"Wives (Couples Panel)","5,564,191","0.122","0.191","0.0687","38.1","1.000","---"
"Husbands (Couples Panel)","5,564,191","0.955","0.870","-0.0847","41.7","1.000","---"
