group,Mean Diabetes Mort. Rate,SD Diabetes Mort. Rate,Mean Heart Mort. Rate,Mean Cancer Mort. Rate,N States,N State-Years
Ever-Treated,13.558585377470825,3.0992757241629594,192.31052631578947,176.31052631578947,17,323
Never-Treated,13.484265734265733,2.7369403763746547,201.49043062200957,179.8317384370016,33,627
