Assumption,MVPF,Change (%)
Baseline,0.87,+0.0%
Persistence: 1 year,0.86,-1.1%
Persistence: 10 years,0.87,+0.0%
High informality (90%),0.86,-1.1%
Low informality (60%),0.88,+1.2%
Discount: 3%,0.88,+1.2%
Discount: 10%,0.88,+1.2%
MCPF: 1.0,0.87,+0.0%
MCPF: 1.5,0.58,-33.3%
VAT coverage: 25%,0.87,+0.0%
VAT coverage: 100%,0.91,+4.6%
