Outcome,CS-DiD ATT,CS SE,TWFE Coef,TWFE SE
Log Employment,-0.0034493000313479557,0.5209105502262026,0.16576441906819908,0.5271200861787375
Log Establishments,-0.12343259989998523,0.09093979810782447,-0.09498032300196413,0.04263243089808434
Log Avg Weekly Wages,-9.792658115598736e-4,0.39756392403683793,0.11637303377897845,0.4342654557991016
Log Business Applications,-0.002564861472527853,0.017710725713935532,0.018884141856264088,0.019882510442786477
