state_abbr,n_crashes,pct_alcohol,mean_drive_time,median_drive_time,nearest_legal
AZ,6795,29.6688741721854,271.281139567374,249.604802263934,CA
ID,2071,31.0960888459681,133.217886918324,97.1174381159246,NV
KS,3585,26.1645746164575,580.838605121324,585.245429607555,CO
MT,1770,46.8926553672316,506.280513934989,499.584362322732,WA
NE,2027,34.8791317217563,520.885315881327,587.845459335718,CO
NM,3183,36.6635249764373,347.087650072223,310.601451899877,CO
UT,1676,19.6300715990453,209.152001246182,219.325694641111,NV
WY,1140,36.4912280701754,294.653373065738,284.302754822637,CO
