specification,estimate,se,n,pvalue,ci_lower,ci_upper,significant
Same-Language Borders (PRIMARY),-1.4042546189786833,1.5252547829596386,866,0.357223326282596,-4.393753993579574,1.5852447556222082,FALSE
Pooled Borders (all),-2.7250604233490137,1.104186492228778,2108,0.013589501676977417,-4.889265948117419,-0.5608548985806086,TRUE
Border-Segment FE,-6.544433744154944,2.2656325342004804,1196,0.003870002852331948,-10.985073511187885,-2.1037939771220024,TRUE
OLS + Language Controls,-1.7987301208124256,1.930760010603897,2120,0.35153415376540725,-5.583019741596064,1.9855594999712125,FALSE
