term,estimate,se,ci_lower,ci_upper
Treated (Rural),-1.6681475352383404,2.0008549756978136,-5.5898232876060545,2.2535282171293742
Treated x Urban,4.980583108485333,1.724056765818217,1.6014318474816274,8.359734369489038
"Treated (Urban, total)",3.312435573246993,1.2027959128141537,0.9549555841312518,5.669915562362734
