Estimator,Estimate,SE,CI_low,CI_high,p_value
Callaway-Sant'Anna (ATT),-0.4835550881525203,0.34765044756657115,-1.1649499653829998,0.19783978907795913,0.16424870359250332
TWFE,-0.41947868991550036,0.3271763621896885,-1.0607443598072899,0.2217869799762891,0.19980126972578915
