specification,estimate,se,pvalue,ci_low,ci_high,bandwidth,n_left,n_right
1. Pooled (MSE-optimal),-2.7250604233490137,1.104186492228778,0.013589501676977417,-4.889226180333035,-0.5608946663649932,11.861611929080771,437,564
2. Same-language borders,-1.3573457744692305,1.262641110596018,0.2823723949677577,-3.83207687663708,1.117385327698619,8.259679969409559,242,454
3. Half bandwidth,-2.5424352514477135,1.6466079883813949,0.12257766390650832,-5.7697276053311946,0.684857102435767,5.930805964540386,291,367
4. Double bandwidth,-3.643373382027036,0.843295952407692,1.557486754353707e-5,-5.296203077054516,-1.990543686999557,23.723223858161543,739,684
5. Local quadratic,-2.6233559508374427,1.7222645559871104,0.12770830156083546,-5.9989324524220455,0.7522205507471602,12.482608083300908,454,571
