specification,estimate,se,n,ci_lower,ci_upper,pvalue
(1) Raw,-9.631460287440797,3.321038117197486,2120,-16.140694997147868,-3.1222255777337242,0.00373001468831704
(2) + Language,-1.7987301208124256,1.930760010603897,2120,-5.583019741596064,1.9855594999712125,0.35153415376540725
(3) + Language + Turnout,-1.489304951316331,1.9133502674619272,2120,-5.239471475541708,2.2608615729090458,0.4363476839488046
(4) Language FE,-1.7987301208121675,1.93076001060391,2120,-5.583019741595831,1.9855594999714958,0.3515341537654797
