Outcome,rdrobust_Est,rdrobust_SE,Param_Est,Param_SE_cluster
Any Volunteering,0.007773728192036325,0.009684631654031176,0.00509669631517394,0.002463026461426288
Volunteering Minutes,0.4990734335743472,2.007688871832548,0.9872800499099172,0.7456323996942686
Any Grandchild Care,-0.007366923891580016,0.009975273495894058,-0.0057712353816055904,0.002267418744020128
Any Pro-Social,-9.431425270872706e-4,0.013219344848880432,-0.0011922793232965407,0.0022917252310270574
