age,n,volunteer_rate,volunteer_mins,grandchild_rate,grandchild_mins,prosocial_rate,prosocial_mins,volunteer_se,post62,age_centered
55,4068,0.06489675516224189,8.739921337266503,0.05580137659783677,6.443952802359859,0.11578171091445427,15.260078662733488,0.0038628174720837572,0,-7
56,4024,0.060139165009940355,8.743290258449326,0.05740556660039761,7.919483101391651,0.11207753479125249,16.95725646123257,0.0037483096145999218,0,-6
57,3887,0.06457422176485722,8.417545665037288,0.06020066889632107,6.918446102392567,0.12040133779264214,15.39902238229997,0.0039426012861788545,0,-5
58,4039,0.06461995543451349,7.616489230007468,0.06214409507303788,6.739044317900477,0.12230750185689528,14.586531319633545,0.0038689598243424246,0,-4
59,3877,0.06783595563580087,9.15914366778439,0.059582151147794686,6.353366004642745,0.125354655661594,15.731235491359332,0.004039096815544453,0,-3
60,3757,0.06547777482033537,9.241682193239289,0.06947032206547778,9.02821400053229,0.1296247005589566,18.52808091562416,0.004036258581900655,0,-2
61,3899,0.06437548089253654,9.66273403436772,0.07104385739933317,9.028468838163649,0.13157219799948705,18.987432675044758,0.003930883049336483,0,-1
62,3619,0.06990881458966565,10.218844984802477,0.06465874550980934,7.16689693285439,0.13125172699640786,17.564520585797148,0.004239302937434316,1,0
63,3605,0.07905686546463246,11.975034674063794,0.06934812760055478,9.427461858529838,0.1423023578363384,21.643273231622732,0.004494628607270946,1,1
64,3694,0.07552788305360043,9.546832701678426,0.06740660530590147,9.399025446670262,0.13860314022739578,19.333513806172167,0.004348214007090876,1,2
65,3594,0.07679465776293823,10.487200890372852,0.06789092932665554,8.304117974401771,0.1407902058987201,19.03756260434057,0.004442076673328044,1,3
66,3481,0.08532031025567366,14.893708704395308,0.0721057167480609,8.49928181557027,0.15196782533754669,23.706693478885335,0.004735557441896761,1,4
67,3234,0.07482993197278912,9.744588744588729,0.07081014223871367,8.705009276437849,0.13976499690785404,18.76097711811995,0.004627491287084736,1,5
68,3174,0.09325771896660366,13.655009451795832,0.0702583490863264,8.958727158160073,0.15847511027095149,22.89413988657845,0.005162371944240952,1,6
69,3056,0.09620418848167539,13.422447643979089,0.06577225130890052,8.019633507853401,0.1544502617801047,21.68030104712047,0.005334903217539048,1,7
70,2892,0.0867911479944675,12.18914246196401,0.07226832641770402,8.49066390041489,0.15352697095435686,20.94087136929458,0.005235989016779634,1,8
