Subgroup,N,Estimate,SE
Female,32270,0.006477356654041025,0.0049736865756470645
Male,25630,0.0036364749951031472,0.005076989417082101
College,18683,0.009505278799476763,0.004692693797657408
No College,39217,0.0036268327756082313,0.003687241077409446
Married,30556,0.004013292829234804,0.0039295656482491665
Unmarried,27344,0.006285710346970697,0.003421731897193897
Weekday,29415,0.007774402944794814,0.0031871171239153825
Weekend,28485,0.002957035867446827,0.004892720549230967
