Outcome,Method,Estimate,SE,t_stat,Significant
Work Minutes,rdrobust,-3.846265696285201,9.214710166811924,-0.4174049564942442,No
Work Minutes,Cluster(age),-22.83370641599089,4.913111848787595,-4.647503887302209,Yes
Any Work,rdrobust,-0.00882378865943717,0.018779035549637266,-0.4698744318425666,No
Any Work,Cluster(age),-0.04496221065381898,0.009355041323314866,-4.806201180721997,Yes
