age,n,work_mins,work_se,any_work_rate,any_work_se,post62,age_centered
55,4068,202.1969026548675,NA,0.47025565388397245,0.00782641894529594,0,-7
56,4024,189.65506958250498,NA,0.4440854870775348,0.0078336160204855,0,-6
57,3887,189.81039361975797,NA,0.43735528685361463,0.007957614814404722,0,-5
58,4039,180.76083188908137,NA,0.4147066105471651,0.007753077608989293,0,-4
59,3877,172.96156822285215,NA,0.39592468403404696,0.007855248891092941,0,-3
60,3757,166.16688847484698,NA,0.3941974980037264,0.007973695949537332,0,-2
61,3899,151.15645037188983,NA,0.3590664272890485,0.007683745881095048,0,-1
62,3619,133.2558717877867,NA,0.3161094224924012,0.0077299689510694535,1,0
63,3605,113.10707350901514,NA,0.2829403606102635,0.007502961179171639,1,1
64,3694,105.81835408771013,NA,0.2636708175419599,0.007250657411928164,1,2
65,3594,85.10823594880382,NA,0.21814134668892599,0.006889766601037596,1,3
66,3481,78.4415397874172,NA,0.1979316288422867,0.006754196208380498,1,4
67,3234,64.58101422387132,NA,0.17656153370439084,0.00670595707954674,1,5
68,3174,66.85885318210475,NA,0.1767485822306238,0.006771878805004335,1,6
69,3056,48.91099476439789,NA,0.14037958115183247,0.006284919584928975,1,7
70,2892,48.07365145228203,NA,0.13658367911479943,0.006386831881722861,1,8
