Bandwidth,Estimate_rdrobust,SE_rdrobust,Estimate_cluster,SE_cluster,N_eff
3,0.007908116607957344,0.00967720457386458,0.010300965478785895,0.0029509280563940346,26045
4,0.00931118236865898,0.007238423245929948,0.00678488405286564,0.002553019814735551,33565
5,0.007845139575225507,0.006131064373425659,0.00809489673672075,0.0030578616770261355,40686
6,0.007737407901134391,0.005477707044463331,0.004406375661946324,0.0030945748992251996,47884
7,0.006392219119404408,0.00500430457269193,0.004280334619485822,0.002563116527438253,55008
8,0.00572839075443296,0.004647316581644343,0.0054434445385279535,0.002547764687346244,57900
